epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,879.313,1.24379,0.68445,1.29096,0.87907,0.96629,0.9228,0.49717,1.74347,0.74312,1.5247,0.0006734,0.0006734,0.0006734
69,892.456,1.20746,0.67153,1.26007,0.89611,0.96919,0.9414,0.51484,1.6961,0.6832,1.47122,0.0006536,0.0006536,0.0006536
70,905.303,1.23062,0.65746,1.25758,0.89602,0.96823,0.95871,0.5159,1.74228,0.68088,1.51014,0.0006338,0.0006338,0.0006338
71,918.205,1.21173,0.65706,1.25751,0.89616,0.96974,0.96213,0.49934,1.81613,0.69436,1.55844,0.000614,0.000614,0.000614
72,930.966,1.20296,0.66665,1.25575,0.89578,0.96574,0.95996,0.49595,1.76529,0.71659,1.52169,0.0005942,0.0005942,0.0005942
73,943.673,1.18435,0.63768,1.23194,0.92169,0.96629,0.96117,0.50474,1.76223,0.70658,1.54519,0.0005744,0.0005744,0.0005744
74,956.73,1.15108,0.63269,1.22739,0.88727,0.97753,0.96743,0.53496,1.7034,0.69981,1.48685,0.0005546,0.0005546,0.0005546
75,970.023,1.17561,0.64137,1.24206,0.90556,0.96966,0.95849,0.50842,1.73315,0.69156,1.50703,0.0005348,0.0005348,0.0005348
76,982.733,1.19398,0.66004,1.25087,0.90572,0.97146,0.96726,0.51809,1.67035,0.68758,1.47882,0.000515,0.000515,0.000515
77,995.459,1.15765,0.61935,1.22022,0.89697,0.97753,0.96281,0.50841,1.71697,0.70899,1.49681,0.0004952,0.0004952,0.0004952
78,1008.25,1.16011,0.6379,1.22818,0.91473,0.96431,0.96028,0.51651,1.72509,0.70503,1.52695,0.0004754,0.0004754,0.0004754
79,1021.45,1.1072,0.62246,1.21156,0.89822,0.95506,0.95642,0.51683,1.7419,0.71723,1.51698,0.0004556,0.0004556,0.0004556
80,1034.73,1.14901,0.62719,1.22418,0.90569,0.97117,0.95337,0.50535,1.75505,0.71129,1.55018,0.0004358,0.0004358,0.0004358
81,1047.6,1.11834,0.62701,1.21481,0.90497,0.95506,0.95243,0.50735,1.73,0.69847,1.52076,0.000416,0.000416,0.000416
82,1060.42,1.14679,0.64394,1.2253,0.89178,0.95506,0.94323,0.49893,1.73083,0.71001,1.52751,0.0003962,0.0003962,0.0003962
83,1073.18,1.09567,0.62173,1.20511,0.87876,0.97727,0.9474,0.49881,1.73475,0.70354,1.52611,0.0003764,0.0003764,0.0003764
84,1085.9,1.12825,0.62934,1.22902,0.88731,0.9732,0.94414,0.48861,1.71549,0.70165,1.5349,0.0003566,0.0003566,0.0003566
85,1098.74,1.10276,0.63198,1.20584,0.91307,0.94408,0.95222,0.49491,1.69152,0.72123,1.51045,0.0003368,0.0003368,0.0003368
86,1111.41,1.11803,0.60265,1.21315,0.91457,0.96233,0.96528,0.49129,1.72529,0.70418,1.55518,0.000317,0.000317,0.000317
87,1124.34,1.06886,0.60716,1.19203,0.92371,0.95238,0.95871,0.47574,1.79245,0.71594,1.56604,0.0002972,0.0002972,0.0002972
88,1137.14,1.09298,0.61536,1.20912,0.92336,0.94762,0.96292,0.4717,1.80231,0.71824,1.58935,0.0002774,0.0002774,0.0002774
89,1149.73,1.06718,0.59516,1.17175,0.8989,0.94382,0.95233,0.4904,1.73627,0.71797,1.53691,0.0002576,0.0002576,0.0002576
90,1162.47,1.06467,0.58431,1.18245,0.92342,0.94845,0.96311,0.4993,1.74285,0.70412,1.56455,0.0002378,0.0002378,0.0002378
91,1183.12,1.13389,0.58316,1.22806,0.8989,0.97753,0.94317,0.48326,1.73594,0.75236,1.586,0.000218,0.000218,0.000218
92,1195.51,1.09531,0.56751,1.21844,0.90621,0.97703,0.93499,0.48271,1.72788,0.73433,1.56842,0.0001982,0.0001982,0.0001982
93,1207.87,1.06528,0.54149,1.18875,0.89789,0.96629,0.94228,0.48028,1.72943,0.72291,1.55748,0.0001784,0.0001784,0.0001784
94,1220.44,1.05867,0.54731,1.17637,0.89233,0.97753,0.94219,0.49757,1.72185,0.74397,1.55421,0.0001586,0.0001586,0.0001586
95,1232.85,1.04181,0.53243,1.17181,0.9088,0.97753,0.9354,0.49107,1.74847,0.74901,1.56493,0.0001388,0.0001388,0.0001388
96,1245.23,1.05608,0.53287,1.18449,0.91433,0.97753,0.93695,0.48897,1.76539,0.7464,1.57573,0.000119,0.000119,0.000119
97,1257.74,1.03316,0.53186,1.16457,0.91541,0.97753,0.93977,0.47827,1.77015,0.74342,1.58669,9.92e-05,9.92e-05,9.92e-05
98,1270.25,1.01924,0.5223,1.16092,0.90803,0.97753,0.94435,0.48697,1.76438,0.74253,1.58149,7.94e-05,7.94e-05,7.94e-05
99,1282.66,1.02285,0.54053,1.16005,0.91494,0.96629,0.94333,0.49465,1.75245,0.72973,1.56418,5.96e-05,5.96e-05,5.96e-05
100,1295.14,1.02746,0.53383,1.15654,0.91626,0.96629,0.94818,0.50006,1.74569,0.72912,1.55722,3.98e-05,3.98e-05,3.98e-05
